title,year,mileage,transmission,fuel,body_color,inside_color,body_status,description,body_type,volume,engine,acceleration,price
هیوندای، توسان,2014,"175,000 km",اتوماتیک,9.6 لیتر در صد کیلومتر,سفید,مارون,بدون رنگ,مانیتور اندرویدی بدنه بدون لیسه کشی و روغن گیربکس به تازه گی تعویض شده لاستیکها حداقل تا دوسال مناسب هست سپر جلو کمی خط و خش دارد  باطری نو  زاپاس استفاده شده است,crossover,2.4 لیتر,4 سیلندر,10.4 ثانیه,"2,550,000,000"
پراید، 131,1391,"330,000 km",دنده ای,6.7 لیتر در صد کیلومتر,سفید,سفید,بدون رنگ,ماشین شاستی سرشاستی پلمپ میباشد به شرط موتوری هم سلامت میباشد تخفیف جزئی پای معامله,passenger_car,1.3 لیتر,4 سیلندر یورو3 (M13),13.8 ثانیه,"215,000,000"
پژو، 206,1398,"132,000 km",دنده ای,6.4 لیتر در صد کیلومتر,سفید,خاکستری,بدون رنگ, خیلی تمیز فنی عالی,hatchback,1.4 لیتر,4 سیلندر TU3,14.1 ثانیه,"445,000,000"
تیبا، هاچ بک,1396,"103,000 km",دنده ای,6.9 لیتر در صد کیلومتر,آبی,خاکستری,بدون رنگ,ماشین دارای دوربین دنده عقب،روکش صندلی نو،زاپاس زیرش نرفته،شیشه برقی،اینه برقی،بیمه ۵ ماه،ماشین از اول دست خودم بوده،فنی موتوری گیربکس سالم ،هر ۵ هزار تا مصرفی عوض شده،تسمه تایم و دینام عوض شده،داخل بیرون ماشین تمیز مثل صفر کیلومتر،,hatchback,1.5 لیتر,4 سیلندر M15,13 ثانیه,"310,000,000"
پژو، پارس,1401,"37,000 km",دنده ای,7 لیتر در صد کیلومتر,خاکستری,کرم,بدون رنگ,,passenger_car,1.8 لیتر,4 سیلندر XU7 پلاس,12 ثانیه,"570,000,000"
لکسوس، RX,2012,"330,000 km",اتوماتیک,9.9 لیتر در صد کیلومتر,سفید,مشکی,گلگیر رنگ,,suv,3.5 لیتر,6 سیلندر,7.6 ثانیه,"4,990,000,000"
پژو، 207,1400,"95,000 km",دنده ای,6.6 لیتر در صد کیلومتر,مشکی,نوک مدادی,دو لکه رنگ,فرمان برقی گلگیر و درب عقب سمت راننده رنگ دارد. آینه ها فول برقی. تسمه تایم تعویض. جلو پنجره متفاوت.,hatchback,1.6 لیتر,4 سیلندر TU5,11.6 ثانیه,"590,000,000"
پژو، 206,1398,"44,000 km",دنده ای,6.4 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,با سلام  ماشین از همه لحاظ صفر و سالم و بی ایراد هست یک ساییدگی به دیوار در قسمت شاگرد داشته که حتی قاف کاریم لازم نداشه اندازه ۴ انگشت فقط لیسه شده در قسمت در جلو کنار گلگیر . با تشکر,hatchback,1.4 لیتر,4 سیلندر TU3,14.1 ثانیه,"480,000,000"
پژو، 206,1394,"150,000 km",دنده ای,6.4 لیتر در صد کیلومتر,آبی,مشکی,بدون رنگ,,hatchback,1.6 لیتر,4 سیلندر TU5,11.6 ثانیه,"390,000,000"
پژو، 206,1388,"290,000 km",دنده ای,6.4 لیتر در صد کیلومتر,نوک مدادی,مشکی,دو لکه رنگ,موتور تعمیر اساسی شده شاسی پلمپ خیلی تمیز بدون آفتاب سوختگی,hatchback,1.4 لیتر,4 سیلندر TU3,14.1 ثانیه,"280,000,000"
هیوندای، النترا,2017,"44,000 km",اتوماتیک,7.5 لیتر در صد کیلومتر,مشکی,مشکی,بدون رنگ,تک برگ سند  فول کامل وارداتی   فقط نقدی و لطفا فقط خریدار تماس بگیرد و از نمایشگاه زنگ نزنین,passenger_car,2 لیتر,4 سیلندر MPi,9.6 ثانیه,"2,650,000,000"
جک، S3,1401,"30,000 km",اتوماتیک,7.6 لیتر در صد کیلومتر,مشکی,مشکی,بدون رنگ,فنی سالم بشرط کارشناسی  بصورت نقد و اقساط,crossover,1.6 لیتر,4 سیلندر,10.8 ثانیه,"980,000,000"
مزدا، 3 نیو صندوق دار,1398,"36,000 km",اتوماتیک,7.6 لیتر در صد کیلومتر,سربی,مشکی,صافکاری بدون رنگ,"فول کامل
کارکرد کاملا واقعی
به شرط کارشناسی شما
نوک گلگیر جلو‌ سمت راننده صافکاری بدون رنگ
بیمه ۱سال کامل",passenger_car,2 لیتر,4 سیلندر,9.2 ثانیه,"2,295,000,000"
ام وی ام، X22 PRO,1402,"3,500 km",دنده ای,7.1 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,"بیمه بدنه 5ماه
بیمه 5ماه
داخل پارکینگ بوده 
پول لازم دارم میفروشم",crossover,1.5 لیتر,4 سیلندر (4G15C),,"915,000,000"
پژو، 206,1397,"132,000 km",دنده ای,6.4 لیتر در صد کیلومتر,سفید,مشکی,دو لکه رنگ,با سلام ماشین ۳ سال پیش در ایران خودرو به صورت کاملا دقیق و حرفه ای تعویض اتاق شده و در سند نیز درج شده،خودرو سر شاسی سمت شاگرد ضربه بسیار کمی دارد که اصلا به هیچ وجه در سرعت بالا گیجی ندارد،گلگیر سمت راننده و کاپوت تعویض و رنگ میباشد،تست رنگ خودرو موجود است،تخفیف پای معامله،معاوضه هم ندارم،لطفا فقط تماس بگیرید با تشکر,hatchback,1.6 لیتر,4 سیلندر TU5,11.6 ثانیه,"388,000,000"
پراید، 131,1394,"221,000 km",دنده ای,6.4 لیتر در صد کیلومتر,سفید,طوسی,درب تعویض,"سالم و تمیز
کم مصرف
ضبط pioneer
لاستیک ۸۰ درصد
کولر روشن
شیشه دودی
درب صندوق عقب و رکاب راست تعویض می باشد.
یه خرده هم گلگیر عقب سمت شاگرد رنگ دارد.
فقط خریدار",passenger_car,1.3 لیتر,4 سیلندر یورو4 بهینه (M13),13.4 ثانیه,"220,000,000"
فوتون، تونلند G7,1402,"5,500 km",اتوماتیک,,مشکی,مشکی,بدون رنگ,رولرید، لاینر ، کف پایی ، گارانتی فعال,pickup,2 لیتر,4 سیلندر توربوشارژ (4G20T15),,"2,450,000,000"
پژو، 405,1391,"185,000 km",دنده ای,,نقره ای,قهوه ای,یک لکه رنگ,"با سلام
مصرفی ها تعویض شده،یه کم آفتاب سوختگی روی درب و ابه صندق عقب داره و روغن تازه تعویض شده بیمه با تخفیف کامل.باب مصرف کننده",passenger_car,,,,"275,000,000"
